300,400,200
290,401,216
306,440,214
293,426,214
290,447,205
300,462,210
313,462,214
303,440,220
290,440,205
275,426,220
284,426,221
296,433,214
290,433,214
293,440,220
310,447,225
300,447,220
290,447,220
293,455,220
300,433,208
287,413,225
290,433,225
296,447,213
300,440,220
300,462,218
296,440,213
303,455,213
287,420,221
284,440,223
281,433,208
284,447,210
303,440,208
310,433,206
310,447,206
293,447,208
284,447,208
293,462,208
296,447,208
293,440,218
306,440,220
303,433,211
310,440,203
310,433,213
306,455,213
306,433,211
290,447,208
300,433,211
306,455,216
293,462,211
